N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
191,한올바이오파마,"22,750",200,-0.87%,500,"11,885","52,241",6.20,"117,009",60.19,12.29,
192,SK디스커버리,"62,000","3,200",-4.91%,"5,000","11,803","19,038",10.60,"90,459",4.74,14.71,
193,지누스,"80,600","1,000",-1.23%,500,"11,612","14,407",21.96,"23,710",27.68,11.61,
194,KODEX 단기채권PLUS,"103,030",0,0.00%,0,"11,573","11,233",0.00,"2,593",N/A,N/A,
195,LG전자우,"66,600","1,500",-2.20%,"5,000","11,446","17,186",39.93,"96,230",6.12,N/A,
196,KODEX 인버스,"3,950",0,0.00%,0,"11,423","289,200",1.59,"19,097,415",N/A,N/A,
197,아시아나항공,"15,300",300,-1.92%,"5,000","11,385","74,412",19.68,"453,962",-1.32,-90.67,
198,영진약품,"6,200",10,-0.16%,500,"11,339","182,893",4.44,"225,889","-6,200.00",-0.12,
199,화승엔터프라이즈,"18,150","1,050",+6.14%,500,"10,989","60,545",3.72,"611,336",27.42,9.26,
200,세방전지,"78,100","2,600",+3.44%,500,"10,934","14,000",24.79,"110,328",16.50,6.14,
